SUMMARY FUEL DATA by VEHICLE
Agency,'069                                              ,Fuel Type:,All
Bureau,05,State:,All
Agency Ind,   ,Zip:,All 
Account Codes (BOACs):                                                                                                                                                                                                           
Customer No,  ,  ,  ,      ,   
Vehicle Tag, ,  ,     
 
Tag,VIN,Vehicle Fuel Type,Agency,Bureau,Agy Indicator,Region,FMC,Account Code (BOAC),Serial,Start Date,End Date,Purchased Fuel Type,GGE Units    ,                                      
G10-0044R,1G1ZC5ST4GF227243,GAS,069,05 - Federal Aviation Administration                   ,   ,01,02,692014,427,01/01/2020,01/31/2020,GAS ,      45.48,,,            
G10-0055U,1G1ZC5ST9HF231077,GAS,069,05 - Federal Aviation Administration                   ,   ,03,02,692003,218,01/01/2020,01/31/2020,GAS ,      16.65,,,            
G10-0063R,1C3CCCAB1FN742963,E85,069,05 - Federal Aviation Administration                   ,   ,02,01,692003,005,01/01/2020,01/31/2020,E85 ,       5.31,,,            
G10-0063R,1C3CCCAB1FN742963,E85,069,05 - Federal Aviation Administration                   ,   ,02,01,692003,005,01/01/2020,01/31/2020,GAS ,       6.89,,,            
G10-0066U,3FA6P0UU4HR360618,GAS,069,05 - Federal Aviation Administration                   ,   ,05,11,695001,504,01/01/2020,01/31/2020,GAS ,      34.82,,,            
G10-0068U,1G1ZC5ST8HF227716,GAS,069,05 - Federal Aviation Administration                   ,   ,07,01,697002,406,01/01/2020,01/31/2020,GAS ,       9.55,,,            
G10-0071R,1C3CCCAB0FN757681,E85,069,05 - Federal Aviation Administration                   ,   ,02,01,692014,002,01/01/2020,01/31/2020,GAS ,      14.73,,,            
G10-0084P,1G11A5SL0EF294194,GAS,069,05 - Federal Aviation Administration                   ,   ,01,02,692014,009,01/01/2020,01/31/2020,GAS ,      12.30,,,            
G10-0103R,1C3CCCAB8FN742961,E85,069,05 - Federal Aviation Administration                   ,   ,02,01,692003,004,01/01/2020,01/31/2020,E85 ,      12.07,,,            
G10-0103R,1C3CCCAB8FN742961,E85,069,05 - Federal Aviation Administration                   ,   ,02,01,692003,004,01/01/2020,01/31/2020,GAS ,       7.35,,,            
G10-0124M,KMHEC4A42CA038247,GAS,069,05 - Federal Aviation Administration                   ,   ,01,02,694002,004,01/01/2020,01/31/2020,GAS ,      34.83,,,            
G10-0126M,KMHEC4A4XCA038254,GAS,069,05 - Federal Aviation Administration                   ,   ,01,02,692014,004,01/01/2020,01/31/2020,GAS ,       4.20,,,            
G10-0162U,3FA6P0UU9HR330773,GAS,069,05 - Federal Aviation Administration                   ,   ,07,01,697002,808,01/01/2020,01/31/2020,GAS ,      10.59,,,            
G10-0180W,3FA6P0LU4KR274413,GAS,069,05 - Federal Aviation Administration                   ,   ,05,08,695001,902,01/01/2020,01/31/2020,GAS ,      34.41,,,            
